max_depth,eta,gamma,lambda,alpha,num_class,objective,eval_metric,num_round,score
19,2.620402174817936,3.838177955288942,3.4820113318236876,21.683107240227688,61,multi:softmax,merror,10,0.09761662713204564
19,2.1779532039949228,5.279582622409153,6.502486322492264,0.11346056628497496,61,multi:softmax,merror,10,0.03424827742008359
20,2.6316977072312917,30.773610427542607,0.6208684398743849,19.40765707457485,61,multi:softmax,merror,10,0.03659776347001017
24,0.635336768528897,0.03336908950381109,1.6046995876409105,1.3479842440094434,61,multi:softmax,merror,10,0.3105162091946233
41,0.9216345908991982,1.543125034280547,0.134609378053238,8.975875680831518,61,multi:softmax,merror,10,0.25634248277420085
35,0.5467580569052732,10.804279000822985,20.375804145307374,0.03615429760371766,61,multi:softmax,merror,10,0.34937309386648596
22,1.4741843346879278,0.994741301423799,1.1842893679607729,0.6218759279400266,61,multi:softmax,merror,10,0.045747204337512705
24,2.515288072681914,0.1567531825981345,0.07848698784413369,0.05024259189533282,61,multi:softmax,merror,10,0.05062690613351406
14,1.1986314700349727,6.00634826935546,0.2574803554638769,0.19901750905266774,61,multi:softmax,merror,10,0.053654128543996385
45,0.6439810967722293,40.72036219735494,12.891417107937576,36.059243016215845,61,multi:softmax,merror,10,0.30428103467751044
15,2.276565027314392,0.9240946723191273,1.277221640552743,8.702218898846574,61,multi:softmax,merror,10,0.10251892014006551
47,0.712869169015794,0.1838003690838039,1.881851095217596,0.018388611450629946,61,multi:softmax,merror,10,0.3044165819496216
48,1.3620311528804268,2.148629585099564,0.04845009392143318,0.08783386848216669,61,multi:softmax,merror,10,0.03752400316276968
6,2.6793701856965058,44.753795262041145,0.031232064777233,21.27749190577198,61,multi:softmax,merror,10,0.0330735343951203
23,2.504481052760279,0.07229925004832993,0.3039488402502194,1.9750283398839452,61,multi:softmax,merror,10,0.03467751044843556
21,0.9967624541555807,0.02676380876584748,2.489419338739094,4.947652482930925,61,multi:softmax,merror,10,0.2826838359878007
24,0.4486972311957681,44.96065448684501,0.9193978071003972,0.021155000329672442,61,multi:softmax,merror,10,0.3084604089009375
46,0.44827347923749955,0.11429488839245672,0.13810268392963282,0.02302715922198129,61,multi:softmax,merror,10,0.31521518129447645
13,0.7204443917017435,11.96452693200217,0.38989184966498863,0.026637977198902225,61,multi:softmax,merror,10,0.2762905229865582
26,1.6171251272140192,0.03774409307069532,0.058862248806878764,0.019189093852849472,61,multi:softmax,merror,10,0.03752400316276968
