n_estimators,max_depth,score
246,20,0.4096464475319101
137,47,0.4107760081328363
295,8,0.31810685643284764
156,41,0.4112730147972439
126,38,0.41000790692420647
83,36,0.40542189088444597
78,35,0.4035920027109454
94,15,0.3891788094431266
73,42,0.40022591212018527
279,33,0.415023155992319
